挺,挺,tǐng
通,通,tōng
通过,通過,tōngguò
通知,通知,tōngzhī
同时,同時,tóngshí
同学,同學,tóngxué
同意,同意,tóngyì
同志,同志,tóngzhì
痛快,痛快,tòngkuài
头,頭,tóu
突然,突然,tūrán
图书馆,圖書館,túshūguǎn
团结,團結,tuánjié
推,推,tuī
腿,腿,tuǐ
退,退,tuì
脱,脫,tuō
袜子,襪子,wàzi
外,外,wài
外边,外邊,wàibian
外国,外國,wàiguó
外语,外語,wàiyǔ
完,完,wán
完成,完成,wánchéng
完全,完全,wánquán
玩儿,玩兒,wánr
碗,碗,wǎn
晚,晚,wǎn
晚饭,晚飯,wǎnfàn
晚会,晚會,wǎnhuì
晚上,晚上,wǎnshàng
万,萬,wàn
往,往,wǎng
忘,忘,wàng
危险,危險,wēixiǎn
为,為,wéi
为,為,wèi
伟大,偉大,wěidà
喂,喂,wèi
位,位,wèi
为,為,wèi
为了,為了,wèile
为什么,為什麼,wèishénme
文化,文化,wénhuà
文学,文學,wénxué
文学家,文學家,wénxuéjiā
文艺,文藝,wényì
文章,文章,wénzhāng
问,問,wèn
问好,問好,wènhǎo
问题,問題,wèntí
我,我,wǒ
我们,我們,wǒmen
握手,握手,wòshǒu
屋子,屋子,wūzi
五,五,wǔ
午饭,午飯,wǔfàn
物理,物理,wùlǐ
西,西,xī
西边,西邊,xībian
希望,希望,xīwàng
习惯,習慣,xíguàn
喜欢,喜歡,xǐhuan
洗,洗,xǐ
洗澡,洗澡,xǐzǎo
系,系,xì
细,細,xì
下,下,xià
下边,下邊,xiàbiān
下课,下課,xiàkè
下来,下來,xiàlái
下去,下去,xiàqù
下午,下午,xiàwǔ
夏,夏,xià
夏天,夏天,xiàtiān
先,先,xiān
先生,先生,xiānsheng
现代,現代,xiàndài
现在,現在,xiànzài
相信,相信,xiāngxìn
香,香,xiāng
香蕉,香蕉,xiāngjiāo
响,響,xiǎng
想,想,xiǎng
向,向,xiàng
像,像,xiàng
消息,消息,xiāoxi
小,小,xiǎo
小孩儿,小孩兒,xiǎoháir
小姐,小姐,xiǎojie
小时,小時,xiǎoshí
笑,笑,xiào
些,些,xiē
鞋,鞋,xié
写,寫,xiě
谢谢,謝謝,xièxie
心,心,xīn
辛苦,辛苦,xīnkǔ
新,新,xīn
新年,新年,xīnnián
新闻,新聞,xīnwén
信,信,xìn
信封,信封,xìnfēng
星期,星期,xīngqī
星期日,星期日,xīngqīrì
行,行,xíng
姓,姓,xìng
幸福,幸福,xìngfú
休息,休息,xiūxi
需要,需要,xūyào
许多,許多,xǔduō
学,學,xué
学生,學生,xuésheng
学习,學習,xuéxí
学校,學校,xuéxiào
学院,學院,xuéyuàn
雪,雪,xuě
呀,呀,yā
研究,研究,yánjiū
颜色,顏色,yánsè
眼睛,眼睛,yǎnjīng
演出,演出,yǎnchū
宴会,宴會,yànhuì
羊,羊,yáng
样子,樣子,yàngzi
要求,要求,yāoqiú
药,藥,yào
要,要,yào
要是,要是,yàoshi
也,也,yě
也许,也許,yěxǔ
页,頁,yè
夜,夜,yè
一,一,yī
一般,一般,yībān
一边...一边...,一邊...一邊...,yībiān...yībiān...
一点儿,一點兒,yīdiǎr
一定,一定,yīdìng
一共,一共,yīgòng
一会儿,一會兒,yīhuìr
一块儿,一塊兒,yīkuàir
一起,一起,yīqǐ
一切,一切,yīqiè
一下儿,一下兒,yīxiàr
一些,一些,yīxiē
一样,一樣,yīyàng
一直,一直,yīzhí
衣服,衣服,yīfu
医生,醫生,yīshēng
医院,醫院,yīyuàn
已经,已經,yǐjīng
以后,以後,yǐhòu
以前,以前,yǐqián
以为,以為,yǐwéi
椅子,椅子,yǐzi
亿,億,yì
艺术,藝術,yìshù
意见,意見,yìjiàn
意思,意思,yìsi
意义,意義,yìyì
阴,陰,yīn
因为,因為,yīnwèi
音乐,音樂,yīnyuè
银行,銀行,yínháng
应该,應該,yīnggāi
英语,英語,Yīngyǔ
赢,贏,yíng
影响,影響,yǐngxiǎng
永远,永遠,yǒngyuǎn
用,用,yòng
尤其,尤其,yóuqí
邮局,郵局,yóujú
邮票,郵票,yóupiào
游泳,游泳,yóuyǒng
有,有,yǒu
有的,有的,yǒude
有名,有名,yǒumíng
有时候,有時候,yǒushíhou
有些,有些,yǒuxiē
有意思,有意思,yǒu yìsi
友好,友好,yǒuhǎo
友谊,友誼,yǒuyì
又,又,yòu
右,右,yòu
鱼,魚,yú
愉快,愉快,yúkuài
雨,雨,yǔ
语法,語法,yǔfǎ
语言,語言,yǔyán
预习,預習,yùxí
遇到,遇到,yùdào
元,元,yuán
圆,圓,yuán
原来,原來,yuánlái
原谅,原諒,yuánliàng
远,遠,yuǎn
愿意,願意,yuànyì
月,月,yuè
月亮,月亮,yuèliang
月球,月球,yuèqiú
云,雲,yún
运动,運動,yùndòng
再,再,zài
再见,再見,zàijiàn
在,在,zài 
咱,咱,zán
咱们,咱們,zánmen
脏,臟,zàng
早,早,zǎo
早晨,早晨,zǎochén
早饭,早飯,zǎofàn
怎么,怎麼,zěnme
怎么样,怎麼樣,zěnmeyàng
怎样,怎樣,zěnyàng
增加,增加,zēngjiā
展览,展覽,zhǎnlǎn
占,占,zhān
站,站,zhān
张,張,zhāng
长,長,zhǎng
掌握,掌握,zhǎngwò
着急,著急,zháojí
找,找,zhǎo
照顾,照顧,zhàogù
照相,照相,zhàoxiàng
这,這,zhè
这个,這個,zhège
这里,這裡,zhèlǐ
这么,這麼,zhème
这些,這些,zhèxiē
这样,這樣,zhèyàng
着,著,zhe
真,真,zhēn
真正,真正,zhēnzhèng
整齐,整齊,zhěngqí
正,正,zhèng
正确,正確,zhèngquè
正在,正在,zhèngzài
政府,政府,zhèngfǔ
政治,政治,zhèngzhì
只,只,zhī
支,支,zhī
知道,知道,zhīdào
知识,知識,zhīshi
指,指,zhǐ
纸,紙,zhǐ
只,只,zhǐ
只好,只好,zhǐhǎo
中,中,zhōng
中间,中間,zhōngjiān
中文,中文,Zhōngwén
中午,中午,zhōngwǔ
中学,中學,zhōngxué
钟,鐘,zhōng
钟头,鐘頭,zhōngtóu
种,種,zhǒng
重,重,zhòng
重要,重要,zhòngyào
周,周,zhōu
周围,周圍,zhōuwéi
猪,豬,zhū
主要,主要,zhǔyào
主意,主意,zhǔyì
住,住,zhù
注意,注意,zhùyì
祝,祝,zhù
装,裝,zhuāng
准备,準備,zhǔnbèi
桌子,桌子,zhuōzi
字,字,zì
自己,自己,zìjǐ
自行车,自行車,zìxíngchē
总是,總是,zǒngshì
走,走,zǒu
足球,足球,zúqiú
组织,組織,zǔzhī
祖国,祖國,zǔguó
嘴,嘴,zuǐ
最,最,zuì
最初,最初,zuìchū
最后,最後,zuìhòu
最近,最近,zuìjìn
昨天,昨天,zuótiān
左,左,zuǒ
坐,坐,zuò
座,座,zuò
做,做,zuò
作,作,zuò
作业,作業,zuòyè
